region,env,total404,rootCauseCount,cache_not_ready_yet,deployment_not_in_top_3_latest_deployments,runtime_services_cache_load_failure,root_cause_unknown,recoveryStatus
ap-singapore,iadptj-dev1,28,28,0,28,0,0,recovered
ap-sydney,ecvr,5,5,0,5,0,0,recovered
ap-sydney,efyq,16,16,0,16,0,0,recovered
eu-amsterdam,iacfbn-dev3,1,1,1,0,0,0,recovered
eu-frankfurt,eeeg-dev1,96,96,96,0,0,0,recovered
eu-frankfurt,egkl-dev2,4,4,4,0,0,0,recovered
eu-frankfurt,enod-dev6,24,24,3,21,0,0,recovered
eu-frankfurt,erzp-dev23,73,73,73,0,0,0,recovered
eu-frankfurt,erzr-dev23,733,733,733,0,0,0,recovered
eu-frankfurt,erzr-dev38,19,19,19,0,0,0,recovered
eu-frankfurt,exgn,4789,4789,4789,0,0,0,recovered
me-dubai,iacqey-test,2,2,2,0,0,0,recovered
me-dubai,iacsey,1,1,1,0,0,0,recovered
me-jeddah,ecau,53,53,0,53,0,0,recovered
me-jeddah,ewxl-dev1,125,125,0,125,0,0,recovered
uk-london,hccz,67,67,0,67,0,0,recovered
uk-london,iamome-test,36473,36473,0,36473,0,0,not_sure
us-ashburn,daacjb-dev22,5,5,5,0,0,0,recovered
us-ashburn,eevd-dev2,4,4,0,4,0,0,recovered
us-ashburn,efez,1,1,1,0,0,0,recovered
us-ashburn,eiiv-dev8,61,61,0,61,0,0,recovered
us-ashburn,ejis,1,1,0,1,0,0,recovered
us-ashburn,ejwf,38,38,0,38,0,0,recovered
us-ashburn,eqkx-test,12,12,12,0,0,0,recovered
us-ashburn,etbx,1,1,0,1,0,0,recovered
us-ashburn,evev-dev1,1,1,1,0,0,0,recovered
us-ashburn,evqd-dev1,20,20,0,20,0,0,recovered
us-ashburn,ibqvjb-dev1,33,33,33,0,0,0,recovered
us-ashburn,ibspjb-dev2,11113,11113,0,11113,0,0,not_sure
us-ashburn,ibumjb-dev1,5,5,5,0,0,0,recovered
us-ashburn,ibwzjb-test,4,4,0,4,0,0,recovered
us-ashburn,icirjb-test,3,3,3,0,0,0,recovered
us-phoenix,dabpqy,225,225,225,0,0,0,recovered
us-phoenix,ejkg-dev6,185,185,185,0,0,0,recovered
us-phoenix,eqhd-dev10,101,101,101,0,0,0,recovered
us-phoenix,eqjz,3,3,0,3,0,0,recovered
us-phoenix,eqkh-dev1,3,3,3,0,0,0,recovered
us-phoenix,eqne-dev21,127,127,127,0,0,0,recovered
us-phoenix,erjp,10,10,10,0,0,0,recovered
us-phoenix,erqb,2,2,0,2,0,0,recovered
us-phoenix,esev-dev10,71,71,71,0,0,0,recovered
us-phoenix,esll,74,74,74,0,0,0,recovered
us-phoenix,esll-dev9,170,170,170,0,0,0,recovered
us-phoenix,etaj,2,2,0,2,0,0,recovered
us-phoenix,etaj-dev21,8,8,8,0,0,0,recovered
us-phoenix,etaq-dev21,102,102,102,0,0,0,recovered
us-phoenix,etat,2,2,0,2,0,0,recovered
us-phoenix,etqd-dev2,4,4,0,4,0,0,recovered
us-phoenix,euth-dev31,16,16,0,16,0,0,recovered
us-phoenix,euth-dev45,277,277,277,0,0,0,recovered
us-phoenix,exgs,22,22,20,2,0,0,recovered
us-phoenix,exmi-dev7,6,6,0,6,0,0,recovered
us-phoenix,eydq,1,1,1,0,0,0,recovered
us-phoenix,eygu-dev1,17,17,0,17,0,0,recovered
us-phoenix,iaoaqy-test,6,6,6,0,0,0,recovered
us-phoenix,iaxpqy,85,85,85,0,0,0,recovered
us-phoenix,iaxpqy-dev5,11,11,7,4,0,0,recovered
us-phoenix,iazoqy-dev1,1,1,1,0,0,0,recovered
