region,env,total404,rootCauseCount,cache_not_ready_yet,authz_service_restart,deployment_not_in_top_3_latest_deployments,runtime_services_cache_load_failure,root_cause_unknown,recoveryStatus
eu-frankfurt,iaeegs-test,2,2,1,1,0,0,0,recovered
eu-frankfurt,iakggs-dev1,14,14,14,0,0,0,0,recovered
eu-zurich,iabuas-dev1,27,27,27,0,0,0,0,recovered
me-abudhabi,iablbv-dev2,79,79,79,0,0,0,0,recovered
me-dubai,evue-dev1,3,3,3,0,0,0,0,recovered
me-dubai,evue-test,89,89,89,0,0,0,0,recovered
me-dubai,evzt-dev4,12,12,12,0,0,0,0,recovered
me-dubai,iaatey-dev1,88,88,88,0,0,0,0,recovered
me-jeddah,ejpi-dev3,12,12,12,0,0,0,0,recovered
me-jeddah,embu-test,8,8,8,0,0,0,0,recovered
me-jeddah,epwq-dev1,86,86,86,0,0,0,0,recovered
me-jeddah,epwq-test,67,67,67,0,0,0,0,recovered
me-jeddah,evbt-test,93,93,93,0,0,0,0,recovered
me-jeddah,evkz-dev1,57,57,57,0,0,0,0,recovered
me-jeddah,evqn-test,123,123,123,0,0,0,0,recovered
me-jeddah,evxi-test,6,6,6,0,0,0,0,recovered
me-jeddah,evzh-test,24,24,24,0,0,0,0,recovered
me-jeddah,ewop-test,61,61,61,0,0,0,0,recovered
me-jeddah,exef-dev1,33,33,33,0,0,0,0,recovered
me-jeddah,iaarkf-dev1,2,2,2,0,0,0,0,recovered
me-jeddah,iaatkf-test,92,92,92,0,0,0,0,recovered
me-jeddah,iabhkf-test,64,64,64,0,0,0,0,recovered
uk-london,eeet-test,268,268,268,0,0,0,0,recovered
uk-london,eefj-test,20,20,20,0,0,0,0,recovered
uk-london,eeia-test,84,84,84,0,0,0,0,recovered
uk-london,eevp-test,3000,3000,3000,0,0,0,0,recovered
uk-london,efbz-dev1,1,1,1,0,0,0,0,recovered
uk-london,efmj-test,117,117,117,0,0,0,0,recovered
uk-london,efnu-dev1,143,143,143,0,0,0,0,recovered
uk-london,efva-dev1,27,27,27,0,0,0,0,recovered
uk-london,efva-test,69,69,69,0,0,0,0,recovered
uk-london,efwd-test,70,70,70,0,0,0,0,recovered
uk-london,egeg-test,5581,5581,5581,0,0,0,0,recovered
uk-london,egyp-test,38,38,38,0,0,0,0,recovered
uk-london,encd-dev5,149,149,149,0,0,0,0,recovered
uk-london,eniy-dev1,175,175,175,0,0,0,0,recovered
uk-london,eniy-test,44,44,44,0,0,0,0,recovered
uk-london,enor-dev12,2843,2843,2843,0,0,0,0,recovered
uk-london,enor-dev23,73,73,73,0,0,0,0,recovered
uk-london,enre-dev12,77,77,77,0,0,0,0,recovered
uk-london,enyj-dev3,20,20,20,0,0,0,0,recovered
uk-london,erar-dev13,5324,5324,0,0,5324,0,0,recovered
uk-london,erar-dev15,13,13,11,2,0,0,0,recovered
uk-london,esen-dev2,6000,6000,6000,0,0,0,0,recovered
uk-london,etrw-dev6,41,41,41,0,0,0,0,recovered
uk-london,etuj-dev3,150,150,150,0,0,0,0,recovered
uk-london,etuj-test,42,42,42,0,0,0,0,recovered
uk-london,etvo-test,2,2,0,2,0,0,0,recovered
uk-london,euru-dev1,3000,3000,3000,0,0,0,0,recovered
uk-london,euuc-dev5,6000,6000,6000,0,0,0,0,recovered
uk-london,euuc-test,2727,2727,2727,0,0,0,0,recovered
uk-london,evng-dev5,6000,6000,6000,0,0,0,0,recovered
uk-london,eweh-test,8249,8249,8249,0,0,0,0,recovered
uk-london,ewkv-dev1,7,7,6,1,0,0,0,recovered
uk-london,hdhe-dev3,55,55,55,0,0,0,0,recovered
uk-london,iamkme-dev2,99,99,99,0,0,0,0,recovered
uk-london,iamome-test,35290,35290,0,0,35290,0,0,not_sure
uk-london,iancme-test,66,66,66,0,0,0,0,recovered
us-ashburn,daadjb-dev3,12,12,12,0,0,0,0,recovered
us-ashburn,ehjn-dev6,2,2,2,0,0,0,0,recovered
us-ashburn,ehnd-test,102,102,102,0,0,0,0,recovered
us-ashburn,ehxm-test,123,123,123,0,0,0,0,recovered
us-ashburn,eiag-dev2,146,146,146,0,0,0,0,recovered
us-ashburn,eiag-test,113,113,113,0,0,0,0,recovered
us-ashburn,eiiy,1,1,1,0,0,0,0,recovered
us-ashburn,ejis,3,3,0,0,3,0,0,recovered
us-ashburn,ejis-dev4,16,16,0,0,16,0,0,recovered
us-ashburn,eqbe,17,17,17,0,0,0,0,recovered
us-ashburn,erwe-test,112,112,112,0,0,0,0,recovered
us-ashburn,evpk-test,81,81,81,0,0,0,0,recovered
us-ashburn,ewve-test,96,96,96,0,0,0,0,recovered
us-ashburn,exsr-test,51,51,51,0,0,0,0,recovered
us-ashburn,ibspjb-dev2,11481,11481,0,0,11481,0,0,not_sure
us-ashburn,icfbjb-dev2,73,73,73,0,0,0,0,recovered
us-ashburn,icghjb-dev1,5,5,5,0,0,0,0,recovered
us-phoenix,dabpqy,2,2,0,0,2,0,0,recovered
us-phoenix,enge-dev3,1,1,1,0,0,0,0,recovered
us-phoenix,eoga-test,45,45,45,0,0,0,0,recovered
us-phoenix,eqgj-dev8,155,155,99,56,0,0,0,recovered
us-phoenix,eqir-dev20,140,140,99,41,0,0,0,recovered
us-phoenix,eqjr,1312,1312,729,583,0,0,0,recovered
us-phoenix,eqjw-dev3,52,52,31,21,0,0,0,recovered
us-phoenix,eqkm-dev9,266,266,211,55,0,0,0,recovered
us-phoenix,eqng-dev2,88,88,62,26,0,0,0,recovered
us-phoenix,erug-test,110,110,110,0,0,0,0,recovered
us-phoenix,etar-dev46,1952,1952,1952,0,0,0,0,recovered
us-phoenix,euth-dev31,2,2,0,0,2,0,0,recovered
us-phoenix,evjn-dev4,14,14,14,0,0,0,0,recovered
us-phoenix,iawmqy-dev7,53,53,53,0,0,0,0,recovered
us-phoenix,iazoqy-test,2,2,2,0,0,0,0,recovered
