region,env,total404,rootCauseCount,cache_not_ready_yet,deployment_not_in_top_3_latest_deployments,runtime_services_cache_load_failure,root_cause_unknown,recoveryStatus
ap-mumbai,epgu-test,5,5,5,0,0,0,recovered
ap-singapore,iadptj-dev1,40,40,0,40,0,0,recovered
ap-sydney,efyq,125,125,0,125,0,0,recovered
eu-amsterdam,iacfbn-test,17,17,17,0,0,0,recovered
eu-frankfurt,eeeg-dev1,116,116,116,0,0,0,recovered
eu-frankfurt,ehle,1,1,0,1,0,0,recovered
eu-frankfurt,equv-dev2,35,35,9,26,0,0,recovered
eu-frankfurt,erzp-dev1,14,14,14,0,0,0,recovered
eu-frankfurt,erzp-dev26,13,13,13,0,0,0,recovered
eu-frankfurt,erzp-dev34,81,81,81,0,0,0,recovered
eu-frankfurt,erzp-dev7,1,1,1,0,0,0,recovered
eu-frankfurt,erzr-dev45,17,17,17,0,0,0,recovered
eu-frankfurt,erzr-dev46,20,20,20,0,0,0,recovered
eu-frankfurt,erzr-dev54,3,3,3,0,0,0,recovered
eu-frankfurt,erzv,8,8,8,0,0,0,recovered
eu-frankfurt,esbc-dev20,12,12,12,0,0,0,recovered
eu-frankfurt,esdr-dev13,3,3,3,0,0,0,recovered
eu-frankfurt,esdr-dev15,1,1,1,0,0,0,recovered
eu-frankfurt,esdr-dev19,19,19,19,0,0,0,recovered
eu-frankfurt,esdr-dev21,1543,1543,1543,0,0,0,recovered
eu-frankfurt,esdr-dev28,5,5,5,0,0,0,recovered
eu-frankfurt,esdr-dev8,13,13,13,0,0,0,recovered
eu-frankfurt,esei-dev11,10,10,10,0,0,0,recovered
eu-frankfurt,esif-dev1,27,27,27,0,0,0,recovered
eu-frankfurt,etit-dev13,71,71,71,0,0,0,recovered
eu-frankfurt,etit-dev3,16,16,16,0,0,0,recovered
eu-frankfurt,etit-dev7,10,10,9,1,0,0,recovered
eu-frankfurt,etit-test,130,130,130,0,0,0,recovered
eu-frankfurt,ewuk,12,12,12,0,0,0,recovered
eu-frankfurt,exej-test,149,149,149,0,0,0,recovered
eu-frankfurt,exgr-dev3,267,267,267,0,0,0,recovered
eu-frankfurt,exqw-dev1,104,104,104,0,0,0,recovered
eu-frankfurt,exqw-dev6,18,18,18,0,0,0,recovered
uk-london,efhi-dev25,36,36,0,36,0,0,recovered
uk-london,evli-dev6,99,99,4,95,0,0,recovered
uk-london,hccz,12,12,0,12,0,0,recovered
uk-london,iamome-test,10920,10920,0,10920,0,0,not_sure
us-ashburn,daadjb,52,52,52,0,0,0,recovered
us-ashburn,daadjb-dev1,152,152,152,0,0,0,recovered
us-ashburn,daadjb-dev4,66,66,6,60,0,0,recovered
us-ashburn,eewo-dev10,4,4,0,4,0,0,recovered
us-ashburn,eiiv-dev9,76,76,76,0,0,0,recovered
us-ashburn,ejis,5,5,0,5,0,0,recovered
us-ashburn,ekmt-dev1,2,2,0,2,0,0,recovered
us-ashburn,emje-dev2,169,169,169,0,0,0,recovered
us-ashburn,eqau-dev2,7,7,7,0,0,0,recovered
us-ashburn,etbx,3,3,0,3,0,0,recovered
us-ashburn,evev-dev1,32,32,32,0,0,0,recovered
us-ashburn,evtz-test,118,118,118,0,0,0,recovered
us-ashburn,ibqvjb-dev1,126,126,124,2,0,0,recovered
us-ashburn,ibspjb-dev2,11958,11958,0,11958,0,0,not_sure
us-ashburn,ibuvjb-test,22,22,0,22,0,0,recovered
us-ashburn,icgkjb-dev1,13,13,13,0,0,0,recovered
us-ashburn,ichbjb-dev4,20,20,0,20,0,0,recovered
us-ashburn,ichqjb-dev1,191,191,191,0,0,0,recovered
us-ashburn,iciujb,1,1,1,0,0,0,recovered
us-phoenix,dabkqy-dev1,485,485,485,0,0,0,recovered
us-phoenix,dabpqy,2060,2060,2060,0,0,0,recovered
us-phoenix,ecxo-dev2,106,106,80,26,0,0,recovered
us-phoenix,ejkg-dev6,70,70,70,0,0,0,recovered
us-phoenix,eqgj-dev2,1,1,1,0,0,0,recovered
us-phoenix,eqgj-dev29,67,67,67,0,0,0,recovered
us-phoenix,eqgz-dev6,7,7,7,0,0,0,recovered
us-phoenix,eqha-dev11,8,8,8,0,0,0,recovered
us-phoenix,eqhh-dev18,1056,1056,1056,0,0,0,recovered
us-phoenix,eqhh-dev20,17,17,17,0,0,0,recovered
us-phoenix,eqhh-dev3,4,4,4,0,0,0,recovered
us-phoenix,eqhh-test,4,4,4,0,0,0,recovered
us-phoenix,eqhy-dev20,123,123,123,0,0,0,recovered
us-phoenix,eqhy-dev5,1,1,1,0,0,0,recovered
us-phoenix,eqih-dev2,10,10,10,0,0,0,recovered
us-phoenix,eqih-dev20,36,36,36,0,0,0,recovered
us-phoenix,eqij,68,68,68,0,0,0,recovered
us-phoenix,eqij-dev17,969,969,969,0,0,0,recovered
