region,env,total404,rootCauseCount,cache_not_ready_yet,deployment_not_in_top_3_latest_deployments,runtime_services_cache_load_failure,root_cause_unknown,recoveryStatus
us-phoenix,eqij-dev18,6,6,6,0,0,0,recovered
us-phoenix,eqil-dev5,3000,3000,3000,0,0,0,recovered
us-phoenix,eqiq-dev3,74,74,74,0,0,0,recovered
us-phoenix,eqir-dev9,7,7,7,0,0,0,recovered
us-phoenix,eqje-dev1,2,2,2,0,0,0,recovered
us-phoenix,eqje-dev13,19,19,19,0,0,0,recovered
us-phoenix,eqje-dev16,3,3,3,0,0,0,recovered
us-phoenix,eqje-dev18,76,76,76,0,0,0,recovered
us-phoenix,eqje-dev2,24,24,24,0,0,0,recovered
us-phoenix,eqjn-dev12,4,4,4,0,0,0,recovered
us-phoenix,eqjr-dev21,78,78,78,0,0,0,recovered
us-phoenix,eqjr-dev3,3,3,3,0,0,0,recovered
us-phoenix,eqjz,95,95,95,0,0,0,recovered
us-phoenix,eqjz-dev5,239,239,239,0,0,0,recovered
us-phoenix,eqkg-dev2,61,61,61,0,0,0,recovered
us-phoenix,eqkh,920,920,920,0,0,0,recovered
us-phoenix,eqkh-dev1,2,2,0,2,0,0,recovered
us-phoenix,eqkh-dev20,1,1,1,0,0,0,recovered
us-phoenix,eqkh-dev3,7,7,7,0,0,0,recovered
us-phoenix,eqkj-dev20,1,1,1,0,0,0,recovered
us-phoenix,eqkz,53,53,53,0,0,0,recovered
us-phoenix,eqkz-dev11,16,16,16,0,0,0,recovered
us-phoenix,eqkz-dev6,2,2,2,0,0,0,recovered
us-phoenix,eqkz-dev8,45,45,45,0,0,0,recovered
us-phoenix,eqkz-test,14,14,14,0,0,0,recovered
us-phoenix,eqne-dev21,92,92,92,0,0,0,recovered
us-phoenix,eqng-dev1,65,65,65,0,0,0,recovered
us-phoenix,eqng-dev13,10,10,10,0,0,0,recovered
us-phoenix,eqng-dev19,117,117,117,0,0,0,recovered
us-phoenix,eqng-dev21,4,4,4,0,0,0,recovered
us-phoenix,eqng-dev5,146,146,146,0,0,0,recovered
us-phoenix,eqng-dev8,23,23,23,0,0,0,recovered
us-phoenix,eqsh-dev16,15,15,15,0,0,0,recovered
us-phoenix,erjp-dev1,9,9,9,0,0,0,recovered
us-phoenix,esds-dev13,11,11,11,0,0,0,recovered
us-phoenix,esds-dev8,60,60,60,0,0,0,recovered
us-phoenix,esdu-dev3,31,31,31,0,0,0,recovered
us-phoenix,eseb-dev13,97,97,97,0,0,0,recovered
us-phoenix,eseb-dev15,57,57,57,0,0,0,recovered
us-phoenix,eseb-dev2,1,1,1,0,0,0,recovered
us-phoenix,esec-dev14,19,19,19,0,0,0,recovered
us-phoenix,esec-dev18,24,24,24,0,0,0,recovered
us-phoenix,esec-dev20,2,2,2,0,0,0,recovered
us-phoenix,esec-dev29,1,1,1,0,0,0,recovered
us-phoenix,esec-dev33,15,15,15,0,0,0,recovered
us-phoenix,esec-dev36,112,112,112,0,0,0,recovered
us-phoenix,eseg,8,8,8,0,0,0,recovered
us-phoenix,eseg-dev19,5,5,5,0,0,0,recovered
us-phoenix,eseg-dev28,6,6,6,0,0,0,recovered
us-phoenix,eset-dev18,24,24,24,0,0,0,recovered
us-phoenix,eset-dev20,6,6,6,0,0,0,recovered
us-phoenix,eseu-dev23,3,3,3,0,0,0,recovered
us-phoenix,esev,158,158,0,158,0,0,recovered
us-phoenix,esev-dev20,1,1,1,0,0,0,recovered
us-phoenix,esev-dev30,19,19,19,0,0,0,recovered
us-phoenix,esev-dev6,13,13,13,0,0,0,recovered
us-phoenix,esew-dev22,215,215,215,0,0,0,recovered
us-phoenix,esfd-dev15,15,15,15,0,0,0,recovered
us-phoenix,esfd-dev3,83,83,83,0,0,0,recovered
us-phoenix,esfe-dev5,33,33,33,0,0,0,recovered
us-phoenix,esmb-dev11,1,1,1,0,0,0,recovered
us-phoenix,esmb-dev4,1,1,1,0,0,0,recovered
us-phoenix,etaj-dev30,4,4,4,0,0,0,recovered
us-phoenix,etan,2,2,2,0,0,0,recovered
us-phoenix,etan-dev10,1,1,0,1,0,0,recovered
us-phoenix,etan-dev3,76,76,0,76,0,0,recovered
us-phoenix,etaq-dev9,1,1,0,1,0,0,recovered
us-phoenix,etar-dev18,105,105,105,0,0,0,recovered
us-phoenix,etar-dev20,24,24,24,0,0,0,recovered
us-phoenix,etas-dev1,74,74,74,0,0,0,recovered
us-phoenix,etas-dev13,58,58,58,0,0,0,recovered
us-phoenix,etat-dev6,1,1,1,0,0,0,recovered
us-phoenix,etiq-dev11,40,40,40,0,0,0,recovered
us-phoenix,etiq-dev17,32,32,32,0,0,0,recovered
us-phoenix,etiq-dev19,6,6,6,0,0,0,recovered
us-phoenix,etiq-dev20,10,10,10,0,0,0,recovered
us-phoenix,etiq-dev7,1,1,1,0,0,0,recovered
us-phoenix,eudt,105,105,105,0,0,0,recovered
us-phoenix,eudt-dev17,12,12,12,0,0,0,recovered
us-phoenix,eudu,68,68,64,4,0,0,recovered
us-phoenix,euth-dev26,15,15,15,0,0,0,recovered
us-phoenix,euth-dev29,3000,3000,3000,0,0,0,recovered
us-phoenix,euth-dev36,3000,3000,3000,0,0,0,recovered
us-phoenix,euth-dev44,866,866,866,0,0,0,recovered
us-phoenix,euth-dev45,297,297,297,0,0,0,recovered
us-phoenix,euth-dev81,162,162,162,0,0,0,recovered
us-phoenix,euth-dev88,57,57,57,0,0,0,recovered
us-phoenix,ewki-dev5,61,61,61,0,0,0,recovered
us-phoenix,exmi-dev7,5,5,5,0,0,0,recovered
us-phoenix,exqv,88,88,88,0,0,0,recovered
us-phoenix,exsp-dev20,180,180,180,0,0,0,recovered
us-phoenix,ichmqy-dev1,1,1,1,0,0,0,recovered
